metric,R40_published_fullwindow,R40_lookahead_1530_NIFTYwin,honest_1520_NIFTYwin,delta_honest_minus_lookahead
"Sharpe (daily, annualized)",2.19,1.357411323635692,1.701174369311903,0.3437630456762111
"Sharpe (monthly, annualized)",1.92,1.2273276041644459,1.708552183893856,0.48122457972941013
Payoff,1.44,1.4485752836290333,1.4209714664989999,-0.02760381713003346
EV per trade (%),0.454,0.11127116418644545,0.24786650524628134,0.1365953410598359
MaxDD daily (%),-8.76,-6.069885268508202,-4.65023151352918,1.4196537549790218
Green months %,83.0,50.0,50.0,0.0
N trades,625.0,84.0,76.0,-8.0
Win rate %,56.3,44.047619047619044,48.68421052631579,4.636591478696744
