date,symbol,vol_ratio,entry,exit,net
2026-04-29,ITC,1.5340773164141188,307.8,306.85,-0.003943419753086434
2026-05-04,VEDL,2.10382689130479,294.4,305.25,0.03599761956521752
2026-05-06,M&M,1.8937873874548903,3298.0,3366.0,0.019761556701030854
2026-05-06,INDIGO,1.6605663306484673,4501.3,4520.0,0.00329735540843756
2026-05-06,IDEA,1.6216214175401316,11.31,11.23,-0.007930386383731228
2026-05-06,KOTAKBANK,1.559205084868152,377.25,380.5,0.0077579768058316755
2026-05-06,ICICIBANK,1.1216460453122357,1277.9,1279.0,3.787229047588184e-06
2026-05-07,M&M,1.4663067026783652,3374.5,3331.5,-0.01359962853756114
2026-05-13,TATASTEEL,1.7762165586677634,219.94,220.6,0.002143818405019645
2026-05-13,VEDL,1.4222928148660408,324.1,339.0,0.04511646497994437
2026-05-14,BHARTIARTL,2.167662590565111,1882.7,1904.0,0.010456539066234668
2026-05-14,BSE,1.5668599282118516,4039.7,3996.0,-0.011674634972894008
2026-05-14,VEDL,1.452002633022786,339.65,330.0,-0.02926860017665234
2026-05-14,IDEA,1.3957220948322797,12.94,12.91,-0.003175392581143636
2026-05-14,HDFCBANK,1.324556699273575,769.6,770.0,-0.0003372494802494941
2026-05-15,INFY,1.1810194434901808,1118.0,1145.6,0.02382994096601065
2026-05-19,TCS,2.5875083080628745,2326.2,2323.9,-0.0018457369959589166
2026-05-19,INFY,2.3245537940443146,1197.8,1189.7,-0.007619397729170089
2026-05-25,INDIGO,2.076796378783203,4503.0,4483.0,-0.005298483455474127
2026-05-25,IRFC,1.1474170214174326,100.4,99.25,-0.012311183266932372
2026-05-27,TMPV,1.2932354414628933,401.5,395.0,-0.017046290161892855
2026-05-27,TATASTEEL,1.1893382408005542,214.99,210.19,-0.02318361984278339
